Empresa,IngresosFY_MilesMillonesPEN,Sector,CrecimientoBPA_TTM_YoY_Pct
Banco de Credito del Peru (BCP),23.22,Finanzas,24.34
InRetail Peru Corp.,21.53,Comercio minorista,12.72
Southern Peru Copper Corp.,18.72,Mineria,32.92
Sociedad Minera Cerro Verde,15.92,Mineria,39.03
Alicorp SAA,11.76,Consumo masivo,14.52
Banco BBVA Peru,10.80,Finanzas,21.62
Minsur SA,9.75,Mineria,66.34
Backus & Johnston,7.94,Consumo masivo,43.51
Ferreycorp SAA,7.79,Servicios de distribucion,-24.72
Interbank,7.64,Finanzas,37.85
